,name,gender,origin,meaning
TEMPLE,TEMPLE,"['m', 'f']",['English (Rare)'],"From a surname which originally belonged to a person who was associated with the Knights Templar, a medieval religious military order."
TEMUJIN,TEMUJIN,['m'],['History'],"Means ""of iron"" in Mongolian, derived ultimately from the Turkic word temür ""iron"". This was the original name of the Mongolian leader better known by the title Genghis Khan. Born in the 12th century, he managed to unite the tribes of Mongolia and then conquer huge areas of Asia and Eastern Europe."
TEMUR,TEMUR,['m'],['Georgian'],Georgian form of TIMUR.
TEMURI,TEMURI,['m'],['Georgian'],Georgian form of TIMUR.
TEMÜJIN,TEMÜJIN,['m'],['Medieval Mongolian'],Mongolian form of TEMUJIN.
TEMÜR,TEMÜR,['m'],['Medieval Turkic'],Old Turkic form of TIMUR.
TENA,TENA,['f'],['Croatian'],Diminutive of TEREZIJA.
TENDAI,TENDAI,"['m', 'f']","['Southern African', 'Shona']","Means ""be thankful"" in Shona."
TENDAJI,TENDAJI,['m'],"['Eastern African', 'Swahili']","Means ""makes things happen"" in Swahili."
TENGIZ,TENGIZ,['m'],['Georgian'],"Derived from Turkic tengiz meaning ""sea, ocean""."
TENNEY,TENNEY,['m'],['Medieval English'],Medieval diminutive of DENIS.
TENNYSON,TENNYSON,['m'],['English (Rare)'],"From an English surname which meant ""son of Tenney"", Tenney being a medieval form of DENIS. A notable bearer of the surname was British poet Alfred Lord Tennyson (1809-1892)."
TENSKWATAWA,TENSKWATAWA,['m'],"['Native American', 'Shawnee']","Means ""open door"" in Shawnee. This was the name of a Shawnee prophet. With his brother Tecumseh he led his people in resistance against European expansion in the early 19th century."
TENZIN,TENZIN,"['m', 'f']","['Tibetan', 'Bhutanese']","From Tibetan བསྟན་འཛིན(bstan-'dzin) which means ""upholder of teachings"". This is one of the given names of the current Dalai Lama, Tenzin Gyatso (1935-)."
TENZING,TENZING,"['m', 'f']",['Tibetan'],Variant transcription of TENZIN.
TEO,TEO,['m'],"['Italian', 'Spanish', 'Croatian']",Short form of TEODORO and other names that begin with Teo.
TEOBALDO,TEOBALDO,['m'],"['Spanish', 'Portuguese', 'Italian']","Spanish, Portuguese and Italian form of THEOBALD."
TEODOR,TEODOR,['m'],"['Swedish', 'Norwegian', 'Danish', 'Romanian', 'Bulgarian', 'Slovak', 'Czech', 'Polish', 'Serbian', 'Croatian', 'Slovene', 'Macedonian']",Form of THEODORE.
TEODORA,TEODORA,['f'],"['Italian', 'Spanish', 'Portuguese', 'Swedish', 'Romanian', 'Polish', 'Bulgarian', 'Macedonian', 'Serbian']",Feminine form of Theodoros (see THEODORE).
TEODORO,TEODORO,['m'],"['Italian', 'Spanish', 'Portuguese']","Italian, Spanish and Portuguese form of Theodoros (see THEODORE)."
TEODORS,TEODORS,['m'],['Latvian'],Latvian form of Theodoros (see THEODORE).
TEODOSIJA,TEODOSIJA,['f'],"['Serbian', 'Macedonian']",Serbian and Macedonian form of THEODOSIA.
TEODOSIO,TEODOSIO,['m'],"['Italian', 'Spanish']",Italian and Spanish form of THEODOSIUS.
TEODOZJA,TEODOZJA,['f'],['Polish (Rare)'],Polish form of THEODOSIA.
TEODÓRA,TEODÓRA,['f'],['Hungarian'],Hungarian feminine form of THEODORE.
TEODÓSIO,TEODÓSIO,['m'],['Portuguese'],Portuguese form of THEODOSIUS.
TEOFIL,TEOFIL,['m'],['Polish'],Polish form of THEOPHILUS.
TEOFILA,TEOFILA,['f'],"['Italian', 'Polish (Rare)']",Italian and Polish feminine form of THEOPHILUS.
TEOFILO,TEOFILO,['m'],['Italian'],Italian form of THEOPHILUS.
